Line      repl    LeafLmm    LeafWmm    Stolonthickmm    StolonLcm    StolonDens    LeafAmm
PROP        3     15.45      13.3       1.55             18.5         147.26        161.305725
PROP        4     13.95      13.05      1.35             40.7         323.972       142.9072875
PROP        5     17.75      16.9       1.3              22.7         180.692       235.480375
HAIFA       1     27.15      28.75      2.55             12.9         102.684       612.7415625
HAIFA       2     29.65      28.15      3.15             25           199           655.1982875
HAIFA       3     26.8       27.7       2.35             30.8         245.168       582.7526
HAIFA       4     26.35      32.4       2.45             12.3          97.908       670.1859
HAIFA       5     28.8       26.95      2.9              14.4         114.624       609.2856
TR41-8      1     23.9       22.1       2.35             40           318.4         414.62915
TR41-8      2     22.95      21.3       2.5              26.4         210.144       383.735475
TR41-8      3     25.1       22.95      3.65             27.7         220.492       452.195325
TR41-8      4     23.95      22.05      2.4              34.4         273.824       414.5565375
TR41-8      5     22.35      23.95      2                29           230.84        420.1967625
TR41-12     1     22.1       20.4       2.5              20           159.2         353.9094
TR41-12     2     28.85      21.2       2.25             18           143.28        480.1217
TR41-12     3     25.05      23.15      2.85             26.3         209.348       455.2273875
TR41-12     4     27.15      24.8       2.35             35.2         280.192       528.5562
TR41-12     5     24.05      18.65      2.35             24.6         195.816       352.0980125
TR41-23     1     23.95      22.5       2.45             42.8         340.688       423.016875
TR41-23     2     24.65      25.15      2.3              19.8         157.608       486.6587875
TR41-23     3     21.05      21.35      2.6              24           191.04        352.7927375
TR41-23     4     26.1       21.25      2.05             10.8          85.968       435.380625
TR41-23     5     19.4       19.1       2.55             37.7         300.092       290.8739
WAVERLEY    1     23.25      19.65      2.5              27           214.92        358.6370625
WAVERLEY    2     22.45      15.4       2.35             16.3         129.748       271.39805
WAVERLEY    3     29.95      24.9       2.5              20.7         164.772       585.417675
WAVERLEY    4     33.05      34.2       2.6              23.5         187.06        887.29335
WAVERLEY    5     30.1       26.6       2.15             27.2         216.512       628.5181
SUSTAIN     1     24.8       22.95      2.2              11.6          92.336       446.7906
SUSTAIN     2     27.35      20.85      2                44.2         351.832       447.6442875
SUSTAIN     3     25         24.45      1.9              37.2         296.112       479.83125
SUSTAIN     4     27.2       26.6       2                47.4         377.304       567.9632
SUSTAIN     5     23.85      25.05      2.15             24.3         193.428       468.9923625
ARAN        1     26.3       24         2.5              27.1         215.716       495.492
