SUBNO,TRT,INTC1C5,INTC2,INTC3,INTC4,AET1,AET2,AET3,AET4,AET5,UET1,UET2,UET3,UET4,UET5,AHT1,AHT2,AHT3,AHT4,AHT5,UHT1,UHT2,UHT3,UHT4,UHT5,ASC1,ASC2,ASC3,ASC4,ASC5,USC1,USC2,USC3,USC4,USC5,EF1,EF2,EF3,EF4,EF5,HF1,HF2,HF3,HF4,HF5
2,r4,NA,8.5,NA,11,NA,1721.01,NA,1774.29,NA,NA,1732.09,NA,1658.34,NA,NA,1555.08,NA,1627.55,NA,NA,1715.58,NA,1657.61,NA,NA,205.03,NA,314.25,NA,NA,150.49,NA,295,NA,NA,203.98,NA,217.26,NA,NA,163.48,NA,310.22,NA
2,t6,NA,9.5,NA,12,NA,1711.27,NA,1762.46,NA,NA,1730.42,NA,1655.25,NA,NA,1536.16,NA,1612.54,NA,NA,1715.53,NA,1653.93,NA,NA,207.3,NA,346.04,NA,NA,153.85,NA,367.18,NA,NA,211.09,NA,287.38,NA,NA,247.84,NA,431.33,NA
2,r6,NA,10,NA,13,NA,1731.34,NA,1767.39,NA,NA,1727.99,NA,1651.76,NA,NA,1568.91,NA,1647.31,NA,NA,1708.82,NA,1644.65,NA,NA,225.38,NA,308.69,NA,NA,153.72,NA,249.37,NA,NA,250.54,NA,241.71,NA,NA,167.2,NA,379.03,NA
2,p1,6.5,11,8,14,1764.68,1743.88,1568.23,1782.13,1714.73,1753.55,1724.08,1709.25,1671.46,1714.585,1715.17,1593.06,1730.95,1751.64,1697.705,1793.08,1686.64,1769.29,1730.02,1744.7575,210.4,149.04,238.45,340.01,NA,237.64,134.15,180.58,429.84,NA,285.16,257.65,308.23,218.11,NA,443.89,191.74,387.25,463.27,NA
2,p2,11.5,16,13,19,1710.69,1745.33,1556.13,1801.42,1703.3925,1740.46,1715.14,1695.04,1689.24,1709.97,1740.67,1605,1727.06,1818.57,1722.825,1813.13,1672.2,1753.36,1759.99,1749.67,196.39,133.34,202.97,282.62,NA,229.52,154.86,171.43,409.96,NA,273.21,279.7,330.4,220.4,NA,465.37,273.63,442.54,422.04,NA
2,p3,16.5,21,18,24,1740.84,1744.12,1553.16,1805.8,1710.98,1725.82,1707.44,1684.63,1692.78,1702.6675,1732.71,1614.05,1728.03,1822.94,1724.4325,1798.55,1676.08,1758.7,1763.5,1749.2075,172.63,178.95,188.17,208.71,NA,194.45,199.31,164.69,301.03,NA,265.09,240,345.79,213.31,NA,433.2,212.79,388.51,456.94,NA
2,p4,21.5,26,23,29,1727.52,1733.84,1555.47,1804.12,1705.2375,1709.39,1698.21,1672.81,1694.52,1693.7325,1719.96,1616.37,1728.77,1825.25,1722.5875,1779.4,1669.23,1761.78,1765.65,1744.015,224.01,150.78,238.68,172.62,NA,267.34,186.75,202.88,243.05,NA,253.96,180.87,373,224.39,NA,376.56,147.75,463.01,436.67,NA
2,p5,26.5,31,28,34,1727.97,1725.87,1545.85,1793.64,1698.3325,1691.81,1691.75,1660.34,1692.68,1684.145,1703.53,1618.33,1731.35,1805.48,1714.6725,1761.71,1655.99,1744.88,1746.96,1727.385,267.81,194.17,372.04,164.14,NA,351.6,212.82,287.42,228.03,NA,243.95,208.73,368.6,227.17,NA,365.84,211.41,423.54,366.88,NA
2,p6,31.5,36,33,39,1711.08,1722.55,1554.92,1787.25,1693.95,1685.12,1689.04,1650.51,1689.72,1678.5975,1691.77,1622.85,1729.73,1793.61,1709.49,1744.28,1649.92,1758.87,1731.5,1721.1425,205.77,201.42,268.07,129.4,NA,260.31,202.57,238.94,182.44,NA,234.18,200.05,345.84,222.33,NA,307.79,218.31,432.2,384.04,NA
2,p7,36.5,41,38,44,1705.52,1715.95,1535.7,1780.84,1684.5025,1674.79,1685.82,1635.15,1686.64,1670.6,1682.52,1620.41,1724.86,1786.75,1703.635,1748.23,1641.21,1736.59,1722.51,1712.135,327.57,195.14,356.18,230.37,NA,416.27,200.05,278.43,365.67,NA,231.18,186.21,347.53,225.78,NA,305.71,224.14,420.72,363.6,NA
