temp   energy
 0     24.639
 0     20.819
 0     26.578
 0     27.653
 0     27.043
 0     25.436
 4     27.439
 4     20.968
 4     21.728
 4     24.574
10     23.081
10     25.321
10     24.063
10     24.617
18     18.183
18     21.170
18     18.198
18     17.322
18     19.515
26     14.600
26     14.207
26     18.374
26     15.700
26     14.754
26     16.074
26     15.732
34     13.129
34     13.905
34     13.287
34     15.759
34     11.949
34     10.958
34     12.550

